Review ID,Store,Rating,Title,Review Text,Date,App Version,Language,Week
86a51a552ec50fc568ca0e6c1bd604fe917df90fe85656549af4ac85cb755d17,android,1,,"If we pledge our shares once and later unpledge them, we are being charged twice — once for pledging and once for unpledging. That itself is understandable, but the problem is that I have been charged multiple times even though I performed this action only once. After pledging and unpledging my shares one time, I did not perform any further pledge or unpledge transactions. However, I am still being charged repeatedly.",2026-04-23,18.7.1,en,
d65dcb668c186c352c9bdad1b679253d80f1d36ec07c3492c8dd15aff11d7baf,ios,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-29,5.42.0,en,12
3a8a6e89fb3e54573ae29f1a13d7756c150ae07058522283cdd7b0c6f4801ba7,ios,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-29,5.42.0,en,12
9a8d13bdd6dfced9210dd903c60d64ce0ca39246806114acf0a5a928984a9c53,android,1,,SIP amount deducted twice this month. Double deduction happened without any reason.,2026-03-29,5.42.0,en,12
929d390291056fac08ccda57f860373d9d9b0cfaba584331e9de79b828de9c21,ios,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-29,5.42.0,en,12
5b777d5aa228e99649fef724fe13d26136842c8ed13ccda800b7b1d0c65e7a68,ios,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-28,5.42.0,en,12
94447c724e2bc5f838c38ef7b17fa7d5d87a7b32bdf3f09f1ecea809eb4ce9b2,android,1,,Withdrawal pending for 5 days. Urgently need money but no response from support.,2026-03-28,5.42.0,en,12
d41798db0082a17e54cb9e66021005153fffced6fe0e7edc39a4f6a12648d778,ios,1,,SIP amount deducted twice this month. Double deduction happened without any reason.,2026-03-28,5.42.0,en,12
f4feb4932fa3d97cbf6dc180e2aea0ca3fa29b82878f6b0ed3964540eb9cebe9,android,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-28,5.42.0,en,12
2193ab9cc54aef19f9bdd953a3ac5bdb5a46af7b29e6e6352ec5b56ccaa46f8e,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-28,5.42.0,en,12
7262dbba2c2f42e5f0d67e2547d606eeb189f659aef20ba129317ec1a1c6c5b0,android,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-28,5.42.0,en,12
b8abb3ef7e51131fa5a7922b4c9593528441da630cb7f4489c6f89851acd426a,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-27,5.42.0,en,12
f5600e2c8db90175ca1fd8e94a6dc97f27632c5f72c426b6bab12e0615d99e96,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-27,5.42.0,en,12
609d6fb9761aa844994e29e9c6c61f7f3dca38b780b88a5504729b8a541b6645,ios,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-27,5.42.0,en,12
98821caa54a8557c079c7e7f3f1271c221d7e8f5f1b40971c1061fec63bbec37,android,1,,Withdrawal pending for 5 days. Urgently need money but no response from support.,2026-03-27,5.42.0,en,12
cc5fbe75259b280c140a222f239330bb9bf13fa8883f3a0b79e4adbb4a8d24f6,android,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-27,5.42.0,en,12
4598277d0d4beb05fa0e9493c5dc40b363ba0e591914fa637f6f43b1274f8926,android,1,,Withdrawal pending for 5 days. Urgently need money but no response from support.,2026-03-27,5.42.0,en,12
b07db5a338d40bd8e79745a9b80a0c1ea5e26aa16dc5cea8395b15dc3ae91d62,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-27,5.42.0,en,12
614910b136577c203ec3c2b8dfa4a6559473c32c322ec1e50b657be2d948e443,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-27,5.42.0,en,12
c6d5943045f9fdd8c7e5d8999f3fe6d8db3e596b13b2f5f8cdbe2e62e68b7298,ios,1,,Withdrawal pending for 5 days. Urgently need money but no response from support.,2026-03-26,5.42.0,en,12
2211c8938413a37424e29916290d697357f004dd4424dc180d82f9b3a646f1dd,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-26,5.42.0,en,12
1d754ba723413bcc6ae83051699b79750bc07c5e43b4f3ec4e20c9e4c0239bc8,android,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-26,5.42.0,en,12
8eb0bede6ec516972efc4d7d0faa190826468097b6ce1a35deaef52b8603366f,android,1,,Transaction stuck in processing state for 48 hours. No update no resolution given.,2026-03-25,5.42.0,en,12
6f8d2720628f5a2c4141cb25ce4b8ac5abebcbbb25cb4e24718ef236d6524509,android,1,,Raised ticket 7 days ago. No response received. Very poor customer service.,2026-03-25,5.42.0,en,12
4f16fb0c7e9b2a6127ed10461de386ee415f996139b72b7ddfc1eded90d3d4c8,android,1,,Money deducted from bank but investment not done. Transaction shows failed status.,2026-03-25,5.42.0,en,12
